timestamp, index, utilization.gpu [%], utilization.memory [%], pstate, temperature.gpu, memory.used [MiB], memory.free [MiB]
2020/05/01 13:47:01.037, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:01.038, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:01.039, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:01.040, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.040, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.041, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:01.042, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:01.043, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.044, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.045, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.046, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.047, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.048, 12, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.048, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:01.049, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:01.050, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:06.052, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:06.053, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:06.054, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:06.055, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.056, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.056, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:06.057, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:06.058, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.059, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.060, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.061, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.062, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.063, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:06.063, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:06.064, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:06.065, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:11.067, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:11.068, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:11.069, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:11.070, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:11.071, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:11.072, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:11.072, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:11.073, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:11.074, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:11.075, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
